NAME OF RESEARCH	category	category_pg1	reference	reference_pct
Total bacterial mass			8.0 - 10.5	80 - 100
NORMAL MICROBIOTA				98- 100
Bifidobacterium spp	1.Actinobacteria	1.Actinobacteria	8.0 - 10.0	2.0 - 10.0
Metabolically active bifidobacteria species, proportion	1.Actinobacteria		>10	>10
"""Metabolically active """"infant"""" bifidobacteria **"""	1.Actinobacteria		5.8 - 7.1	5.0 - 15.0
Bifidobacterium longum subsp. infantis	1.Actinobacteria		4.5 - 6.5	1.0 - 3.0
Bifidobacterium longum subsp. longum	1.Actinobacteria		5.5 - 7.5	2.0 - 6.0
Bifidobacterium bifidum	1.Actinobacteria		4.0 - 6.5	1.0 - 3.0
Bifidobacterium breve	1.Actinobacteria		4.5 - 6.5	1.0 -3.0
"""Metabolically active """"adult"""" bifidobacteria **"""	1.Actinobacteria		5.0 - 7.6	85.0 - 95.0
Bifidobacterium adolescentis	1.Actinobacteria		5.5 - 7.5	1.0 - 5.0
Bifidobacterium catenulatum ssp	1.Actinobacteria		4.5 - 7.0	1.0 - 4.0
Bifidobacterium animalis subsp. lactis	1.Actinobacteria		4.5 - 7.5	1.0 - 4.0
Bifidobacterium dentium	1.Actinobacteria		3.5 - 5.5	< 1
Coriobacteriia	1.Actinobacteria	1.Actinobacteria	< 0.5	< 0.5
Clostridioides difficile	6.MARKERS OF PATHOGENICITY AND RESISTANCE	2.Firmicutes	0.0 - 4.4	0.0 - 0.3
Clostridium leptum gr	2.Firmicutes	2.Firmicutes	7.0 - 9.0	10 - 25.0
Dialister+Allisonella+Megasphaera+Veillonella	2.Firmicutes	2.Firmicutes	5.7 - 7.5	< 1.0
Enterococcus spp	5.OPPORTUNISTIC PATHOGENS		< 4.5	0.0 - 0.5
Erysipelotrichaceae	5.OPPORTUNISTIC PATHOGENS	2.Firmicutes	3.7 - 8.5	0.0 - 6.0
Faecalibacterium prausnitzii	2.Firmicutes	2.Firmicutes	6.5 - 9.0	3.0 - 10.0
Lachnospiraceae	2.Firmicutes	2.Firmicutes	7.5 - 10.0	10.0 - 30.0
Alistipes spp	3.Bacteroidetes	3.Bacteroidetes	7.0 - 9.0	2.8 - 8.0
Bacteroides spp	3.Bacteroidetes	3.Bacteroidetes	7.5 - 9.5	5.0 - 25.0
Butyricimonas spp	3.Bacteroidetes	3.Bacteroidetes	4.5 - 6.5	< 0.5
Parabacteroides spp	3.Bacteroidetes	3.Bacteroidetes	3.7 - 6.5	< 1.0
Prevotella spp	3.Bacteroidetes	3.Bacteroidetes	6.5 - 8.5	5.0 - 15.0
Akkermansia muciniphila	4.Other bacteria	5.Verrumicrobia	6.0 - 8.5	1.0 - 5.0
Desulfovibrio spp	4.Other bacteria	6.Proteo Bacterias	4.5 - 6.5	< 1.0
Methanobrevibacter spp	4.Other bacteria		4.5 - 7.5	< 1.0
Diversity, number of taxa:	4.Other bacteria		>13	
Firmicutes/Bacteroidetes ratio:	4.Other bacteria		1.5 - 2.5	
Clostridium difficile gr	5.OPPORTUNISTIC PATHOGENS		0.0 - 4.0	< 1.0
Clostridium perfringens gr	5.OPPORTUNISTIC PATHOGENS		0.0 - 5.0	0.0 - 0.5
Enterobacterales	5.OPPORTUNISTIC PATHOGENS	6.Proteo Bacterias	4.0 - 6.5	< 1.5
E.coli	5.OPPORTUNISTIC PATHOGENS		4.0 - 6.5	< 1.0
Lactobacillaceae	2.Firmicutes	2.Firmicutes	7.0 - 9.0	0.0 - 5.0
Lactococcus lactis	2.Firmicutes	2.Firmicutes	< 4.0	< 0.5
Fusobacteriaceae	5.OPPORTUNISTIC PATHOGENS	4.Fusobacteria	0.0 - 6.5	0.0 - 1.0
Peptoniphilaceae	5.OPPORTUNISTIC PATHOGENS	2.Firmicutes	0.0 - 1.0	< 0.1
Pseudomonas spp	5.OPPORTUNISTIC PATHOGENS	6.Proteo Bacterias	0.0 - 5.0	< 0.3
Staphylococcus spp	5.OPPORTUNISTIC PATHOGENS	2.Firmicutes	0.0 - 5.5	0.0 - 0.3
Streptococcus spp	2.Firmicutes	2.Firmicutes	5.5 - 8.6	< 1.0
tcdA tcdB	6.MARKERS OF PATHOGENICITY AND RESISTANCE		0.0 - 0.0	ND
Staphylococcus aureus	6.MARKERS OF PATHOGENICITY AND RESISTANCE		0.0 - 0.5	0.0 - 0.1
mecA	6.MARKERS OF PATHOGENICITY AND RESISTANCE		0.0 - 0.0	ND
Streptococcus agalactiae	6.MARKERS OF PATHOGENICITY AND RESISTANCE		0.0 - 0.1	0.0 - 0.1
srr2	6.MARKERS OF PATHOGENICITY AND RESISTANCE		0.0 - 0.1	
Candida spp	7.YEAST FUNGI	7.Otros	0.0 - 4.0	< 0.5
C.albicans	7.YEAST FUNGI		0.0 - 3.5	< 0.1
