name	status	value	notes
Candida albicans	no_evaluado		
Candida auris	no_evaluado		
Candida glabrata	no_evaluado		
Candida tropicalis	no_evaluado		
Clavispora lusitaniae (Candida lusitaniae)	no_evaluado		
Debaryomyces hansenii (C.famata)	no_evaluado		
Kluyveromyces marxianus (C.kefyr)	no_evaluado		
Malassezia furfur	no_evaluado		
Malassezia spp.	no_evaluado		
Meyerozyma guilliermondii (C.guilliermondi)	no_evaluado		
Pichia kudriavzevii (C.krusei)	no_evaluado		
Saccharomyces cerevisiae	no_evaluado		
